                  "Porosity / Sw" Zones

Date: 25.01.2018 10:16:03

Well            Zone_Name  Top        Bottom    
Landau 155      Mioc       165.5      424.7     
Landau 155      Cer        424.7      495.2     
Landau 155      BNS        495.2      678       
Landau 155      CM         678        911.2     
Landau 155      ME         911.2      1006.2    
Landau 155      MeeS       1006.2     1035.1    
Landau 157      Mioc       189.128    484       
Landau 157      Cer        484        495.9     
Landau 157      BNS        495.9      698.6     
Landau 157      CM         698.6      948.7     
Landau 157      ME         948.7      1079      
Landau 157      Ba         1279.8     1300      
Landau 157      LK         1300       1406.9    
Landau 157      MuKa       1406.9     1445.8    
Landau 002 A1   Mioc       729.5      753.5     
Landau 002 A1   Cer        753.5      889.4     
Landau 002 A1   BNS        889.4      1127.3    
Landau 002 A1   CM         1127.3     1233.2    
Landau 002 A1   ME         1233.2     1373.1    
Landau 002 A1   PE         1373.1     1565      
Landau 006      Mioc       189.128    758.488   
Landau 006      Cer        758.488    897.324   
Landau 006      BNS        897.324    1112.818  
Landau 006      CM         1112.818   1247.539  
Landau 006      ME         1247.539   1374.031  
Landau 006      PE         1374.031   1591.658  
Landau 007      Mioc       189.128    733.364   
Landau 007      Cer        733.364    868.543   
Landau 007      BNS        868.543    1100.648  
Landau 007      CM         1100.648   1271.641  
Landau 007      ME         1271.641   1354.851  
Landau 007      PE         1354.851   1683.121  
Landau 008      Mioc       189.128    800.288   
Landau 008      Cer        800.288    914.436   
Landau 008      BNS        914.436    1057.692  
Landau 008      CM         1057.692   1287.206  
Landau 008      ME         1287.206   1401.049  
Landau 008      PE         1401.049   1424.976  
Landau 009      Mioc       189.128    683.354   
Landau 009      Cer        683.354    814.114   
Landau 009      BNS        814.114    976.877   
Landau 009      CM         976.877    1100.168  
Landau 009      ME         1100.168   1401.049  
Landau 009      PE         1401.049   1884.571  
Landau 021      Mioc       189.128    754.064   
Landau 021      Cer        754.064    890.004   
Landau 021      BNS        890.004    1110.527  
Landau 021      CM         1110.527   1244.487  
Landau 021      ME         1244.487   1360.006  
Landau 024      Mioc       189.128    766.623   
Landau 024      Cer        766.623    870.56    
Landau 024      BNS        870.56     1098.398  
Landau 024      CM         1098.398   1200.963  
Landau 024      ME         1244.487   1360.006  
Landau 027      Mioc       189.128    805.588   
Landau 027      Cer        805.588    916.535   
Landau 027      BNS        916.535    1064.363  
Landau 027      CM         1064.363   1166.014  
Landau 027      ME         1244.487   1360.006  
Landau 037      Mioc       189.128    839.332   
Landau 037      Cer        839.332    871.184   
Landau 037      BNS        871.184    1076.162  
Landau 037      CM         1076.162   1155.105  
Landau 037      ME         1244.487   1360.006  
